state,numcol,yieldpercol,totalprod,stocks,priceperlb,prodvalue,year
22.0,10000,44,440000,79000,1.92,845000,2003
21.0,145000,66,9570000,1914000,1.44,13781000,2003
4.0,27000,45,1215000,656000,1.51,1835000,2008
18.0,120000,53,6360000,2099000,1.63,10367000,2011
38.0,8000,37,296000,86000,1.33,394000,1998
22.0,11000,45,495000,84000,2.57,1272000,2009
26.0,6000,41,246000,108000,1.2,295000,2003
5.0,230000,98,22540000,4508000,0.64,14426000,1998
34.0,265000,58,15370000,4765000,1.51,23209000,2010
6.0,75000,56,4200000,307000,0.69,2898000,1998
10.0,9000,41,369000,92000,2.78,1026000,2010
3.0,370000,48,17760000,3730000,1.65,29304000,2011
33.0,4000,70,280000,8000,1.89,529000,2003
19.0,16000,41,656000,151000,1.36,892000,2004
6.0,59000,51,3009000,181000,1.92,5777000,2012
21.0,134000,63,8442000,1097000,1.38,11650000,2002
31.0,59000,39,2301000,874000,1.63,3751000,2010
40.0,58000,56,3248000,942000,1.46,4742000,2003
29.0,11000,50,550000,132000,2.81,1546000,2009
42.0,5000,40,200000,40000,2.39,478000,2010
32.0,28000,56,1568000,800000,1.12,1756000,2005
9.0,95000,44,4180000,2592000,0.97,4055000,2006
40.0,50000,51,2550000,561000,1.27,3239000,2002
14.0,48000,114,5472000,821000,0.49,2681000,1999
24.0,47000,73,3431000,3843000,0.93,3191000,2006
19.0,23000,66,1518000,455000,0.76,1154000,1998
7.0,9000,131,1179000,283000,1.43,1686000,2005
30.0,4000,51,204000,63000,1.24,253000,1998
30.0,7000,35,245000,64000,1.26,309000,2000
2.0,25000,64,1600000,336000,1.26,2016000,2008
13.0,4000,48,192000,54000,1.35,259000,2000
25.0,11000,34,374000,71000,0.85,318000,2001
5.0,170000,81,13770000,1790000,1.0,13770000,2006
43.0,34000,36,1224000,282000,1.59,1946000,2010
11.0,5000,56,280000,78000,1.66,465000,2003
34.0,215000,105,22575000,13545000,1.01,22801000,2004
40.0,62000,41,2542000,1017000,2.38,6050000,2012
28.0,51000,51,2601000,988000,2.23,5800000,2012
20.0,18000,73,1314000,591000,0.54,710000,1999
7.0,8000,118,944000,66000,0.77,727000,1998
32.0,24000,44,1056000,306000,2.55,2693000,2011
11.0,9000,92,828000,489000,0.85,704000,1998
0.0,11000,72,792000,230000,1.21,958000,2006
16.0,11000,21,231000,143000,0.75,173000,2000
35.0,7000,51,357000,86000,2.37,846000,2009
9.0,90000,40,3600000,1440000,1.46,5256000,2008
6.0,52000,65,3380000,270000,1.28,4326000,2003
43.0,39000,81,3159000,474000,1.41,4454000,2003
37.0,25000,57,1425000,157000,1.28,1824000,2003
